,facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
2546,NJD980528996,UH414,Newark Bay Diamond Alkali,,,UH414-SED,Sediment Grab,2013-06-25 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW98,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-28,SE,DRY,AXYS,E1613B,2013-09-26 16:40:46,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381985,67562-39-4,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",,49.0,49.0,ng/kg,3.1,Yes,Y,,,,3.1,0.098,3.1,ng/kg,,49.0,49.0,ng/kg,TRG,-74.059683,40.681633,,,-0.0328083,0,-0.0656166,-74.059683,40.681633,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2547,NJD980528996,UH414,Newark Bay Diamond Alkali,,,UH414-SED,Sediment Grab,2013-06-25 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW98,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-28,SE,DRY,AXYS,E1613B,2013-09-26 16:40:46,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381985,70648-26-9,"1,2,3,4,7,8-Hexachlorodibenzofuran",,6.1,6.1,ng/kg,3.1,Yes,Y,,,,3.1,0.0586,3.1,ng/kg,,6.1,6.1,ng/kg,TRG,-74.059683,40.681633,,,-0.0328083,0,-0.0656166,-74.059683,40.681633,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2548,NJD980528996,UH414,Newark Bay Diamond Alkali,,,UH414-SED,Sediment Grab,2013-06-25 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW98,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-28,SE,DRY,AXYS,E1613B,2013-09-26 16:40:46,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381985,72918-21-9,"1,2,3,7,8,9-Hexachlorodibenzofuran",,3.1,3.1,ng/kg,3.1,Yes,N,U,U,U,3.1,0.08,3.1,ng/kg,,,,ng/kg,TRG,-74.059683,40.681633,,,-0.0328083,0,-0.0656166,-74.059683,40.681633,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2549,NJD980528996,UH414,Newark Bay Diamond Alkali,,,UH414-SED,Sediment Grab,2013-06-25 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW98,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-28,SE,DRY,AXYS,E1613B,2013-09-27 01:22:11,2C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381986,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",,9.0,9.0,ng/kg,0.62,Yes,Y,,,,0.62,0.286,0.62,ng/kg,,9.0,9.0,ng/kg,TRG,-74.059683,40.681633,,,-0.0328083,0,-0.0656166,-74.059683,40.681633,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2550,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,1.1,1.1,ng/kg,0.64,Yes,Y,,,,0.64,0.0716,0.64,ng/kg,,1.1,1.1,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2551,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.055,3.2,ng/kg,,,,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2552,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2553,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,3268-87-9,Octachlorodibenzo-p-dioxin,,160.0,160.0,ng/kg,6.4,Yes,Y,,,,6.4,0.0446,6.4,ng/kg,,160.0,160.0,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2554,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,8.3,8.3,ng/kg,,Yes,Y,,,,,,,,,8.3,8.3,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2555,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",,18.0,18.0,ng/kg,3.2,Yes,Y,,,,3.2,0.115,3.2,ng/kg,,18.0,18.0,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
