FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,BBL-TPCDDS,Total PCDDs,,9.570000,9.57,ug/kg,,Yes,Y,,,,,,,ug/kg,,9.570000,9.57,ug/kg,CAL,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,DDX/DDF,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495796,BBL-TPCDFS,Total PCDFs,,5.790000,5.79,ug/kg,,Yes,Y,,,,,,,ug/kg,,5.790000,5.79,ug/kg,CAL,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7429-90-5,Aluminum,Y,14000000.000000,14000000,ug/kg,,Yes,Y,,,,,,,ug/kg,,14000000.000000,14000000,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7439-89-6,Iron,Y,27000000.000000,27000000,ug/kg,,Yes,Y,,,,,,,ug/kg,,27000000.000000,27000000,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7439-92-1,Lead,Y,290000.000000,290000,ug/kg,,Yes,Y,,,,,,,ug/kg,,290000.000000,290000,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7439-95-4,Magnesium,Y,6200000.000000,6200000,ug/kg,,Yes,Y,,,,,,,ug/kg,,6200000.000000,6200000,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7439-96-5,Manganese,Y,410000.000000,410000,ug/kg,,Yes,Y,,,,,,,ug/kg,,410000.000000,410000,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7439-97-6,Mercury,Y,3400.000000,3400,ug/kg,,Yes,Y,,,,,,,ug/kg,,3400.000000,3400,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7440-02-0,Nickel,Y,40000.000000,40000,ug/kg,,Yes,Y,,,,,,,ug/kg,,40000.000000,40000,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
4,NJD980528996,WTH-10,WTH-10,198034,WTH-10-A (0-6),WTH-10-A (0-6),1/23/1995,N,0,6,ft,SE,1995 USACE Minish Park Investigation,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,MET,1/23/1995,NA,N,INITIAL,,,,TSI PRSA V.4.0,,1,495797,7440-09-7,Potassium,,2200000.000000,2200000,ug/kg,,Yes,Y,,,,,,,ug/kg,,2200000.000000,2200000,ug/kg,TRG,-74.16625126,40.74459918,9999996,9999999,9999993,-74.16625126,40.74459918,Historical-TSI Data,,,,,PR,5.407111,,NA
